,Status,Address,City,Price,Property Type,Sub-Type,Building Size,Link,Year Built,Lot Size,Building Class,Cap Rate
0,For Sale,"54-56 Saint Emanuel St, Mobile, AL","Mobile, Alabama","$5,813,643",Office,Office,"20,000 SF",https://www.loopnet.com/Listing/54-56-Saint-Emanuel-St-Mobile-AL/22647142/,,,,7%
1,For Sale,"137-143 6th Ave SW, Birmingham, AL","Birmingham, Alabama","$690,000",Retail,Freestanding,"14,000 SF",https://www.loopnet.com/Listing/137-143-6th-Ave-SW-Birmingham-AL/22414650/,,,,8.77%
2,For Sale,"3800 Richardson Rd, Hope Hull, AL","Hope Hull, Alabama","$3,050,000",Office,Office,"105,004 SF",https://www.loopnet.com/Listing/3800-Richardson-Rd-Hope-Hull-AL/22013037/,,,B,
3,For Sale,"3851 Government Blvd, Mobile, AL","Mobile, Alabama","$2,090,000",Land,Commercial,,https://www.loopnet.com/Listing/3851-Government-Blvd-Mobile-AL/21232441/,,"666,468 SF",,
4,For Sale,"1704 Woodward Ave, Muscle Shoals, AL","Muscle Shoals, Alabama","$1,350,000",Retail,Restaurant,"4,863 SF",https://www.loopnet.com/Listing/1704-Woodward-Ave-Muscle-Shoals-AL/20922216/,,,C,
5,For Sale,"751 Dauphin St, Mobile, AL","Mobile, Alabama","$1,800,000",Retail,Storefront Retail/Office,"7,727 SF",https://www.loopnet.com/Listing/751-Dauphin-St-Mobile-AL/4842129/,,,C,
6,For Sale,"1351 Cody Rd, Mobile, AL","Mobile, Alabama","$750,000",Land,Commercial,,https://www.loopnet.com/Listing/1351-Cody-Rd-Mobile-AL/3885288/,,"871,200 SF",,
7,For Sale,"1400 Spring Hill Ave, Mobile, AL","Mobile, Alabama","$140,000",Retail,Freestanding,"2,860 SF",https://www.loopnet.com/Listing/1400-Spring-Hill-Ave-Mobile-AL/22950562/,,,C,
8,For Sale,"3765 Government Blvd, Mobile, AL","Mobile, Alabama","$675,000",Office,Medical,"10,000 SF",https://www.loopnet.com/Listing/3765-Government-Blvd-Mobile-AL/22721831/,,,B,
9,For Sale,"1651 Al-150, Bessemer, AL","Bessemer, Alabama","$262,200",Land,Commercial,,https://www.loopnet.com/Listing/1651-Al-150-Bessemer-AL/14718786/,,"190,357 SF",,
20,For Sale,"1711 Glacier Ave, Juneau, AK","Juneau, Alaska","$2,853,800",Hospitality,Hotel,"21,298 SF",https://www.loopnet.com/Listing/1711-Glacier-Ave-Juneau-AK/16689307/,,,,
22,For Sale,Portfolio of 2 Properties,"Bullhead City, Arizona","$1,095,000",Retail,,"10,019 SF",https://www.loopnet.com/Listing/portfolio/23562073/,,"37,884 SF",,8.51%
23,For Sale,"000 Norrie dr, Kingman, AZ","Kingman, Arizona","$2,000,000",Land,Commercial,,https://www.loopnet.com/Listing/000-Norrie-dr-Kingman-AZ/23376835/,,"2,787,840 SF",,
24,For Sale,"2716 S 6th Ave, Tucson, AZ","Tucson, Arizona","$1,896,000",Office,Office,"8,733 SF",https://www.loopnet.com/Listing/2716-S-6th-Ave-Tucson-AZ/23361014/,,,,5.83%
25,For Sale,"11825 W Altadena Ave, El Mirage, AZ","El Mirage, Arizona","$349,000",Specialty,Residential Income,"1,090 SF",https://www.loopnet.com/Listing/11825-W-Altadena-Ave-El-Mirage-AZ/23116338/,,,,3.16%
26,For Sale,"14945-15047 N Highway 79, Florence, AZ","Florence, Arizona","$850,000",Multifamily,Mobile Home Park,"5,769 SF",https://www.loopnet.com/Listing/14945-15047-N-Highway-79-Florence-AZ/22380663/,,,,
27,For Sale,"2802 N Stone Ave, Tucson, AZ","Tucson, Arizona","$460,000",Retail,Convenience,"2,827 SF",https://www.loopnet.com/Listing/2802-N-Stone-Ave-Tucson-AZ/22165090/,,,B,
28,For Sale,"104-120 N Morley Ave, Nogales, AZ","Nogales, Arizona","$3,154,000",Retail,Retail,"30,000 SF",https://www.loopnet.com/Listing/104-120-N-Morley-Ave-Nogales-AZ/12863869/,,,,7.55%
29,For Sale,"9440 N 25th Dr, Phoenix, AZ","Phoenix, Arizona",Price Upon Request,Office,Office,"51,391 SF",https://www.loopnet.com/Listing/9440-N-25th-Dr-Phoenix-AZ/21984768/,,,C,
30,For Sale,"N Of US Rte 60 & E El Camino Viejo Intersection, Gold Canyon, AZ","Gold Canyon, Arizona",Price Upon Request,Land,Commercial,,https://www.loopnet.com/Listing/N-Of-US-Rte-60-E-El-Camino-Viejo-Intersection-Gold-Canyon-AZ/18754240/,,"648,608 SF",,
31,For Sale,"W/Swc McCartney Rd & Pinal Ave, Casa Grande, AZ","Casa Grande, Arizona",Price Upon Request,Land,Commercial,,https://www.loopnet.com/Listing/W-Swc-McCartney-Rd-Pinal-Ave-Casa-Grande-AZ/13869648/,,"60,984 SF",,
32,For Sale,"SWC Milton Rd & University Dr, Flagstaff, AZ","Flagstaff, Arizona",Price Upon Request,Retail,Retail,"5,000 SF",https://www.loopnet.com/Listing/SWC-Milton-Rd-University-Dr-Flagstaff-AZ/22330622/,,,B,
33,For Sale,"Beverly Ave @ Harrison Street, Kingman, AZ","Kingman, Arizona","$2,000,000",Land,Commercial,,https://www.loopnet.com/Listing/Beverly-Ave-Harrison-Street-Kingman-AZ/17104886/,,"392,040 SF",,
34,For Sale,Portfolio of 3 Properties,"Tucson, Arizona","$565,535",Land,,,https://www.loopnet.com/Listing/portfolio/3948813/,,"94,290 SF",,
35,For Sale,"6600 S Country Club, Tucson, AZ","Tucson, Arizona","$172,500",Land,Industrial,,https://www.loopnet.com/Listing/6600-S-Country-Club-Tucson-AZ/3894970/,,"31,463 SF",,
36,For Sale,"6600 S Country Club, Tucson, AZ","Tucson, Arizona","$172,500",Land,Industrial,,https://www.loopnet.com/Listing/6600-S-Country-Club-Tucson-AZ/3887301/,,"31,363 SF",,
52,For Sale,"915 Southwest Dr, Jonesboro, AR","Jonesboro, Arkansas","$950,000",Land,Commercial,,https://www.loopnet.com/Listing/915-Southwest-Dr-Jonesboro-AR/22381842/,,"64,033 SF",,
53,For Sale,"328 S Church St, Jonesboro, AR","Jonesboro, Arkansas","$695,000",Office,Office/Residential,"6,619 SF",https://www.loopnet.com/Listing/328-S-Church-St-Jonesboro-AR/21167379/,,,B,
54,For Sale,"502 SW A St, Bentonville, AR","Bentonville, Arkansas",Price Upon Request,Land,Commercial,,https://www.loopnet.com/Listing/502-SW-A-St-Bentonville-AR/15441468/,,"26,136 SF",,
55,For Sale,"3113 E Race Ave, Searcy, AR","Searcy, Arkansas","$2,977,000",Retail,Restaurant,"7,800 SF",https://www.loopnet.com/Listing/3113-E-Race-Ave-Searcy-AR/21642682/,,,,7%
56,For Sale,"682 S Government Ave, Fayetteville, AR","Fayetteville, Arkansas","$1,500,000",Specialty,Religious Facility,"17,300 SF",https://www.loopnet.com/Listing/682-S-Government-Ave-Fayetteville-AR/23506152/,,,B,
